Resource ID,Původní hodnota,Navrhovaná hodnota,Důvod
gid://shopify/Product/7206854131795,"SRC(it): <p>Abbiamo davvero messo impegno in queste calze.  Un mix perfetto di materiale leggero e funzionale garantirà che le calze rimangano ben ferme e siano molto piacevoli da indossare.</p>
<p>Rete speciale sulla parte del polpaccio e del dorso del piede per migliorare il comfort.</p>
<p>Materiale: 55% polipropilene, 25% cotone, 15% gomma, 5% elastan</p>
<p>Disponibili in taglie da UK 3 a UK 11 e oltre.</p>",calzettoni,Glosář: socks_stutzen -> calzettoni (Source contains 'štulpny')
gid://shopify/Product/7206854131795,"SRC(it): 💚 Stilose calze BU1 in verde - leggere, comode con rete per un supporto perfetto. Perfette per lo sport e l'uso quotidiano. Taglie UK 3-11. Scoprite il comfort!",calzettoni,Glosář: socks_stutzen -> calzettoni (Source contains 'štulpny')
gid://shopify/Product/7206854131795,SRC(fr): BU1 chaussettes vertes,chaussettes de foot,Glosář: socks_stutzen -> chaussettes de foot (Source contains 'štulpny')
gid://shopify/Product/7206854131795,"SRC(fr): <p>Nous avons vraiment mis du cœur à l'ouvrage sur ces chaussettes.  Un mélange parfait de matériaux légers et fonctionnels garantit que les chaussettes resteront bien en place tout en étant très confortables.</p>
<p>Un tissu en maille spécial au niveau du mollet et du cou-de-pied pour améliorer le confort.</p>
<p>Matériau : 55 % polypropylène, 25 % coton, 15 % caoutchouc, 5 % élasthanne</p>
<p>Disponible en tailles allant du UK 3 au UK 11 et plus.</p>",chaussettes de foot,Glosář: socks_stutzen -> chaussettes de foot (Source contains 'štulpny')
gid://shopify/Product/7206854131795,SRC(bg): BU1 зелени чорапи,калци,Glosář: socks_stutzen -> калци (Source contains 'štulpny')
gid://shopify/Product/7206854131795,"SRC(bg): <p>На тези чорапи наистина се постарахме.  Перфектна смес от лек и функционален материал ще осигури, че щулпите ще държат здраво и в същото време ще бъдат много приятни.</p>
<p>Специална мрежа на прасеца и глезена за подобряване на комфорта.</p>
<p>Материал: 55% полипропилен, 25% памук, 15% гума, 5% еластан</p>
<p>Налични в размери от UK 3 до UK 11 и повече.</p>",калци,Glosář: socks_stutzen -> калци (Source contains 'štulpny')
gid://shopify/Product/7206854131795,"SRC(bg): 💚 Стилни BU1 гетри в зелено - леки, удобни с мрежа за перфектна поддръжка. Идеални за спорт и ежедневна употреба. Размери UK 3-11. Открийте комфорта!",калци,Glosář: socks_stutzen -> калци (Source contains 'štulpny')
gid://shopify/Product/7206854131795,SRC(en): BU1 stockings green,socks,Glosář: socks_stutzen -> socks (Source contains 'štulpny')
gid://shopify/Product/7206854688851,"<p>Wir haben Ihre Wünsche gehört und präsentieren Ihnen die neuen Torwarthandschuhe, die speziell für Kunstrasen gefertigt wurden - <b>BU1 Light HG</b>.  Es ist wichtig zu beachten, dass dieser Schaum andere Vorteile hat als Profi-Schaumstoffe, insbesondere die Widerstandsfähigkeit auf harten Oberflächen.</p>","<p>Wir haben Ihre Wünsche gehört und präsentieren Ihnen die neuen Torwarthandschuhe, die speziell für Kunstrasen gefertigt wurden - <b>BU1 Light HG</b>.  Es ist wichtig zu beachten, dass dieser Hafthaftschaum andere Vorteile hat als Profi-Hafthaftschaumstoffe, insbesondere die Widerstandsfähigkeit auf harten Oberflächen.</p>",Glosář: foam_latex -> Haftschaum (nalezeno 'Schaum')
gid://shopify/Product/7206854688851,"SRC(de): <p>Wir haben Ihre Wünsche gehört und präsentieren Ihnen die neuen Torwarthandschuhe, die speziell für Kunstrasen gefertigt wurden - <b>BU1 Light HG</b>.  Es ist wichtig zu beachten, dass dieser Schaum andere Vorteile hat als Profi-Schaumstoffe, insbesondere die Widerstandsfähigkeit auf harten Oberflächen.</p>",Haftschaum,Glosář: foam_latex -> Haftschaum (Source contains 'pěna')
gid://shopify/Product/7206854688851,"SRC(hu): <p>Meghallgattuk az Önök kérését, és bemutatjuk az új kapuskesztyűt, amelyet kifejezetten műfűre varrtunk - <b>BU1 Light HG</b>. Számolni kell azzal, hogy ez a hab más előnyökkel rendelkezik, mint a profi habok, elsősorban a kemény felületeken való ellenálló képességgel.</p>",tapadó hab,Glosář: foam_latex -> tapadó hab (Source contains 'pěna')
gid://shopify/Product/7206854688851,"SRC(sk): <p>Vaše prianie sme vypočuli a predstavujeme nové brankárske rukavice šité priamo pre umelú trávu - <b>BU1 Light HG</b> . Je potrebné počítať s tým, že táto pena má iné prednosti, než profi peny, predovšetkým odolnosť na tvrdých povrchoch.</p>",pěna,Glosář: foam_latex -> pěna (Source contains 'pěna')
gid://shopify/Product/7206854688851,"SRC(ro): <p>Dorim să vă informăm că am ascultat dorințele dumneavoastră și vă prezentăm mănușile de portar concepute special pentru iarba artificială - <b>BU1 Light HG</b>.  Este important să țineți cont că această spumă are alte avantaje decât spumele profesionale, în special rezistența pe suprafețe dure.</p>",latex,Glosář: foam_latex -> latex (Source contains 'pěna')
gid://shopify/Product/7206854688851,"SRC(hr): <p>Vaše želje smo čuli i predstavljamo nove golmanske rukavice šivene posebno za umjetnu travu - <b>BU1 Light HG</b>.  Treba imati na umu da ova pjena ima druge prednosti u odnosu na profesionalne pjene, prvenstveno otpornost na tvrdim površinama.</p>",lateks,Glosář: foam_latex -> lateks (Source contains 'pěna')
gid://shopify/Product/7206854688851,"SRC(es): <p>Hemos escuchado su deseo y le presentamos los nuevos guantes de portero diseñados específicamente para césped artificial - <b>BU1 Light HG</b>.  Es necesario tener en cuenta que esta espuma tiene otras ventajas en comparación con las espumas profesionales, especialmente su resistencia en superficies duras.</p>",látex,Glosář: foam_latex -> látex (Source contains 'pěna')
gid://shopify/Product/7206854688851,"SRC(it): <p>Abbiamo ascoltato i vostri desideri e vi presentiamo i nuovi guanti da portiere cuciti appositamente per il prato artificiale - <b>BU1 Light HG</b>.  È importante tenere presente che questa schiuma ha altre caratteristiche rispetto alle schiume professionali, in particolare la resistenza su superfici dure.</p>",lattice,Glosář: foam_latex -> lattice (Source contains 'pěna')
gid://shopify/Product/7206854688851,"SRC(fr): <p>Nous avons écouté vos souhaits et nous vous présentons les nouveaux gants de gardien conçus spécialement pour le gazon synthétique - <b>BU1 Light HG</b>.&#xa0;Il faut prendre en compte que cette mousse a des avantages différents par rapport aux mousses professionnelles, notamment la résistance sur les surfaces dures.</p>",latex,Glosář: foam_latex -> latex (Source contains 'pěna')
gid://shopify/Product/7206854688851,"SRC(bg): <p>Вашето желание беше чуто и представяме новите вратарски ръкавици, шити специално за изкуствена трева - <b>BU1 Light HG</b>.  Трябва да се има предвид, че тази пяна има други предимства в сравнение с професионалните пяни, най-вече устойчивостта на твърди повърхности.</p>",латекс,Glosář: foam_latex -> латекс (Source contains 'pěna')
gid://shopify/Product/7206854688851,"SRC(en): <meta charset=""UTF-8""><span data-mce-fragment=""1"">We've heard your requests and are introducing the new goalkeeper gloves tailored specifically for artificial turf - <strong>BU1 Light HG</strong>. It's important to note that this foam has different strengths compared to professional foams, especially durability on hard surfaces.</span>",latex foam,Glosář: foam_latex -> latex foam (Source contains 'pěna')
gid://shopify/Product/7206855213139,"<p>Ihre Wünsche wurden erhört und wir präsentieren neue Torwarthandschuhe, die speziell für Kunstrasen genäht wurden - BU1 Light HG. Es ist zu beachten, dass dieser Schaum andere Vorteile hat als Profi-Schäume, insbesondere die Beständigkeit auf harten Oberflächen.</p>","<p>Ihre Wünsche wurden erhört und wir präsentieren neue Torwarthandschuhe, die speziell für Kunstrasen genäht wurden - BU1 Light HG. Es ist zu beachten, dass dieser Hafthaftschaum andere Vorteile hat als Profi-Schäume, insbesondere die Beständigkeit auf harten Oberflächen.</p>",Glosář: foam_latex -> Haftschaum (nalezeno 'Schaum')
gid://shopify/Product/7206855213139,"SRC(de): <p>Ihre Wünsche wurden erhört und wir präsentieren neue Torwarthandschuhe, die speziell für Kunstrasen genäht wurden - BU1 Light HG. Es ist zu beachten, dass dieser Schaum andere Vorteile hat als Profi-Schäume, insbesondere die Beständigkeit auf harten Oberflächen.</p>",Haftschaum,Glosář: foam_latex -> Haftschaum (Source contains 'pěna')
gid://shopify/Product/7206855213139,"SRC(hu): <p><span data-mce-fragment=""1"">Meghallgattuk az Önök kérését, és bemutatjuk az új kapuskesztyűt, amelyet kifejezetten műfűre varrtunk - <strong>BU1 Light HG</strong>. </span>Számolni kell azzal, hogy ez a hab más előnyökkel rendelkezik, mint a profi habok, elsősorban a kemény felületeken való ellenálló képességgel.</p>",tapadó hab,Glosář: foam_latex -> tapadó hab (Source contains 'pěna')
gid://shopify/Product/7206855213139,"SRC(sk): <p><span data-mce-fragment=""1"">Vaše prianie sme vyslyšali a predstavujeme nové brankárske rukavice šité priamo pre umelú trávu - <strong>BU1 Light HG</strong>.  </span>Je potrebné počítať s tým, že táto pena má iné prednosti, než profi peny, predovšetkým odolnosť na tvrdých povrchoch.</p>",pěna,Glosář: foam_latex -> pěna (Source contains 'pěna')
gid://shopify/Product/7206855213139,SRC(ro): BU1 Light HG - iarbă artificială,gazon artificial,Glosář: artificial_grass -> gazon artificial (Source contains 'umělá tráva')
gid://shopify/Product/7206855213139,"SRC(ro): <p><span data-mce-fragment=""1"">V-am ascultat dorințele și vă prezentăm noile mănuși de portar cusute special pentru gazon artificial - <strong>BU1 Light HG</strong>. </span>Trebuie avut în vedere că această spumă are alte avantaje decât spumele profesionale, în principal rezistența pe suprafețe dure.</p>",latex,Glosář: foam_latex -> latex (Source contains 'pěna')
gid://shopify/Product/7206855213139,"SRC(hr): <p>Vaše želje smo uslišali i predstavljamo nove vratarske rukavice šivene izravno za umjetnu travu - BU1 Light HG. Treba računati s tim da ova pjena ima drugačije karakteristike od profi pjena, prvenstveno otpornost na tvrdim površinama.</p>",lateks,Glosář: foam_latex -> lateks (Source contains 'pěna')
gid://shopify/Product/7206855213139,"SRC(es): <p><span data-mce-fragment=""1"">Hemos escuchado sus deseos y presentamos los nuevos guantes de portero hechos específicamente para césped artificial - <strong>BU1 Light HG</strong>.&#xa0;</span>Hay que tener en cuenta que esta espuma tiene diferentes características que las espumas profesionales, principalmente resistencia en superficies duras.</p>",látex,Glosář: foam_latex -> látex (Source contains 'pěna')
gid://shopify/Product/7206855213139,"SRC(it): <p><span data-mce-fragment=""1"">Abbiamo ascoltato le vostre richieste e presentiamo i nuovi guanti da portiere cuciti appositamente per l'erba artificiale - <strong>BU1 Light HG</strong>. </span>È necessario considerare che questa schiuma ha caratteristiche diverse rispetto alle schiume professionali, principalmente la resistenza su superfici dure.</p>",lattice,Glosář: foam_latex -> lattice (Source contains 'pěna')
gid://shopify/Product/7206855213139,SRC(it): BU1 Light HG - erba artificiale,erba sintetica,Glosář: artificial_grass -> erba sintetica (Source contains 'umělá tráva')
gid://shopify/Product/7206855213139,"SRC(fr): <p><span data-mce-fragment=""1"">Nous avons écouté vos souhaits et nous vous présentons les nouveaux gants de gardien conçus spécialement pour le gazon synthétique - <strong>BU1 Light HG</strong>.&#xa0;Il faut prendre en compte que cette mousse a des avantages différents par rapport aux mousses professionnelles, notamment la résistance sur les surfaces dures.</p>",latex,Glosář: foam_latex -> latex (Source contains 'pěna')
gid://shopify/Product/7206855213139,SRC(fr): BU1 Light HG - gazon synthétique,terrain synthétique,Glosář: artificial_grass -> terrain synthétique (Source contains 'umělá tráva')
gid://shopify/Product/7206855213139,"SRC(bg): <p><span data-mce-fragment=""1"">Чухме вашите желания и представяме нови вратарски ръкавици, ушити специално за изкуствена трева - <strong>BU1 Light HG</strong>.&#xa0;</span>Трябва да се има предвид, че тази пяна има различни предимства от професионалните пяни, предимно устойчивост на твърди повърхности.</p>",латекс,Glosář: foam_latex -> латекс (Source contains 'pěna')
gid://shopify/Product/7206855213139,"SRC(en): <p><span data-mce-fragment=""1"">We have heard your wishes and are introducing new goalkeeper gloves tailored specifically for artificial grass - <strong>BU1 Light HG</strong>.  </span>It is important to consider that this foam has different advantages compared to professional foams, primarily its durability on hard surfaces.</p>",latex foam,Glosář: foam_latex -> latex foam (Source contains 'pěna')
gid://shopify/Product/7206863175763,"Trainingshandschuhe BU1 XX – erschwinglich, aber mit professioneller Haltbarkeit. 🧤 Spezieller Schaum für maximale Lebensdauer. Für Torhüter, die Qualität wollen. ⚽","Trainingshandschuhe BU1 XX – erschwinglich, aber mit professioneller Haltbarkeit. 🧤 Spezieller Hafthaftschaum für maximale Lebensdauer. Für Torhüter, die Qualität wollen. ⚽",Glosář: foam_latex -> Haftschaum (nalezeno 'Schaum')
gid://shopify/Product/7206863175763,"SRC(de): Trainingshandschuhe BU1 XX – erschwinglich, aber mit professioneller Haltbarkeit. 🧤 Spezieller Schaum für maximale Lebensdauer. Für Torhüter, die Qualität wollen. ⚽",Haftschaum,Glosář: foam_latex -> Haftschaum (Source contains 'pěna')
gid://shopify/Product/7206863175763,"SRC(hu): BU1 XX edzőkesztyűk – megfizethető áron, professzionális tartóssággal. 🧤 Speciális hab a maximális élettartamért. Kapusoknak, akik minőséget keresnek. ⚽",tapadó hab,Glosář: foam_latex -> tapadó hab (Source contains 'pěna')
gid://shopify/Product/7206863175763,"SRC(sk): Tréninkové rukavice BU1 XX – cenovo dostupné, ale s profesionálnou odolnosťou. 🧤 Špeciálna pena pre maximálnu životnosť. Pre brankárov, ktorí chcú kvalitu. ⚽",pěna,Glosář: foam_latex -> pěna (Source contains 'pěna')
gid://shopify/Product/7206863175763,"SRC(ro): Mănuși de antrenament BU1 XX – accesibile ca preț, dar cu rezistență profesională. 🧤 Spumă specială pentru durabilitate maximă. Pentru portarii care doresc calitate. ⚽",latex,Glosář: foam_latex -> latex (Source contains 'pěna')
gid://shopify/Product/7206863175763,"SRC(hr): BU1 XX trening rukavice – pristupačne cijene, ali s profesionalnom izdržljivošću. 🧤 Posebna pjena za maksimalni vijek trajanja. Za vratare koji žele kvalitetu. ⚽",lateks,Glosář: foam_latex -> lateks (Source contains 'pěna')
gid://shopify/Product/7206863175763,SRC(es): Guantes de entrenamiento BU1 XX – asequibles pero con resistencia profesional. 🧤 Espuma especial para máxima durabilidad. Para porteros que buscan calidad. ⚽,látex,Glosář: foam_latex -> látex (Source contains 'pěna')
gid://shopify/Product/7206863175763,SRC(it): Guanti da allenamento BU1 XX – economici ma con una resistenza professionale. 🧤 Schiuma speciale per una durata massima. Per portieri che vogliono la qualità. ⚽,lattice,Glosář: foam_latex -> lattice (Source contains 'pěna')
gid://shopify/Product/7206863175763,SRC(fr): Gants d'entraînement BU1 XX – abordables mais avec une durabilité professionnelle. 🧤 Mousse spéciale pour une longévité maximale. Pour les gardiens qui veulent de la qualité. ⚽,latex,Glosář: foam_latex -> latex (Source contains 'pěna')
gid://shopify/Product/7206863175763,"SRC(bg): Тренировъчни ръкавици BU1 XX – достъпни по цена, но с професионална издръжливост. 🧤 Специална пяна за максимален живот. За вратари, които искат качество. ⚽",латекс,Glosář: foam_latex -> латекс (Source contains 'pěna')
gid://shopify/Product/7206863175763,SRC(en): BU1 XX Training Gloves – affordable yet with professional durability. 🧤 Special foam for maximum longevity. For goalkeepers who demand quality. ⚽,latex foam,Glosář: foam_latex -> latex foam (Source contains 'pěna')
gid://shopify/Product/7206863568979,"SRC(de): BU1 XX NC - preiswerte Torwarthandschuhe mit Haltbarkeit. 🧤Spezialschaum hält anspruchsvollem Training stand. Qualität, auf die Sie sich verlassen können. ⚽",Haftschaum,Glosář: foam_latex -> Haftschaum (Source contains 'pěna')
gid://shopify/Product/7206863568979,"SRC(hu): BU1 XX NC - megfizethető áron elérhető kapuskesztyűk tartóssággal. 🧤A speciális hab ellenáll a kemény edzéseknek. Minőség, amire számíthat. ⚽",tapadó hab,Glosář: foam_latex -> tapadó hab (Source contains 'pěna')
gid://shopify/Product/7206863568979,"SRC(sk): BU1 XX NC - cenovo dostupné brankárske rukavice s výdržou. 🧤Špeciálna pena odoláva náročnému tréningu. Kvalita, na ktorú sa môžete spoľahnúť. ⚽",pěna,Glosář: foam_latex -> pěna (Source contains 'pěna')
gid://shopify/Product/7206863568979,SRC(ro): BU1 XX NC - mănuși de portar accesibile cu durabilitate. 🧤Spuma specială rezistă la antrenamentele solicitante. Calitate pe care vă puteți baza. ⚽,latex,Glosář: foam_latex -> latex (Source contains 'pěna')
gid://shopify/Product/7206863568979,SRC(hr): BU1 XX NC - pristupačne vratarske rukavice s izdržljivošću. 🧤Posebna pjena podnosi zahtjevne treninge. Kvaliteta na koju se možete osloniti. ⚽,lateks,Glosář: foam_latex -> lateks (Source contains 'pěna')
gid://shopify/Product/7206863568979,SRC(es): BU1 XX NC - guantes de portero asequibles con durabilidad. 🧤La espuma especial resiste el entrenamiento exigente. Calidad en la que puedes confiar. ⚽,látex,Glosář: foam_latex -> látex (Source contains 'pěna')
gid://shopify/Product/7206863568979,SRC(it): BU1 XX NC - guanti da portiere economici e durevoli. 🧤La schiuma speciale resiste agli allenamenti intensi. Qualità di cui potete fidarvi. ⚽,lattice,Glosář: foam_latex -> lattice (Source contains 'pěna')
gid://shopify/Product/7206863568979,SRC(fr): BU1 XX NC - des gants de gardien de but abordables avec une durabilité exceptionnelle. 🧤 La mousse spéciale résiste à l'entraînement intensif. Une qualité sur laquelle vous pouvez compter. ⚽,latex,Glosář: foam_latex -> latex (Source contains 'pěna')
gid://shopify/Product/7206863568979,"SRC(bg): BU1 XX NC - достъпни вратарски ръкавици с издръжливост. 🧤Специалната пяна издържа на интензивни тренировки. Качество, на което можете да разчитате. ⚽",латекс,Glosář: foam_latex -> латекс (Source contains 'pěna')
gid://shopify/Product/7206863568979,SRC(en): BU1 XX NC - affordable goalkeeper gloves with durability. 🧤Special foam withstands demanding training. Quality you can rely on. ⚽,latex foam,Glosář: foam_latex -> latex foam (Source contains 'pěna')
